year,total_population,district
2007,2270352,Colombo
2008,2284182,Colombo
2009,2298012,Colombo
2010,2311842,Colombo
2011,2325673,Colombo
2012,2339503,Colombo
2013,2353333,Colombo
2014,2353000,Colombo
2015,2367000,Colombo
2016,2395000,Colombo
2017,2419000,Colombo
2018,2439000,Colombo
2019,2448000,Colombo
2020,2455000,Colombo
2021,2480000,Colombo
2022,2478000,Colombo
2023,2460000,Colombo
2007,2276491,Gampaha
2008,2287309,Gampaha
2009,2298127,Gampaha
2010,2308945,Gampaha
2011,2319764,Gampaha
2012,2330582,Gampaha
2013,2341400,Gampaha
2014,2339000,Gampaha
2015,2355000,Gampaha
2016,2372000,Gampaha
2017,2391000,Gampaha
2018,2409000,Gampaha
2019,2417000,Gampaha
2020,2423000,Gampaha
2021,2443000,Gampaha
2022,2439000,Gampaha
2023,2421000,Gampaha
2007,1216024,Kalutara
2008,1221109,Kalutara
2009,1226194,Kalutara
2010,1231279,Kalutara
2011,1236364,Kalutara
2012,1241448,Kalutara
2013,1246533,Kalutara
2014,1242000,Kalutara
2015,1252000,Kalutara
2016,1261000,Kalutara
2017,1271000,Kalutara
2018,1281000,Kalutara
2019,1284000,Kalutara
2020,1287000,Kalutara
2021,1296000,Kalutara
2022,1292000,Kalutara
2023,1279000,Kalutara
2007,1342279,Kandy
2008,1352655,Kandy
2009,1363030,Kandy
2010,1373406,Kandy
2011,1383782,Kandy
2012,1394158,Kandy
2013,1404533,Kandy
2014,1404000,Kandy
2015,1417000,Kandy
2016,1434000,Kandy
2017,1452000,Kandy
2018,1468000,Kandy
2019,1476000,Kandy
2020,1483000,Kandy
2021,1501000,Kandy
2022,1499000,Kandy
2023,1482000,Kandy
2007,474485,Matale
2008,478182,Matale
2009,481879,Matale
2010,485576,Matale
2011,489273,Matale
2012,492970,Matale
2013,496667,Matale
2014,496000,Matale
2015,501000,Matale
2016,508000,Matale
2017,514000,Matale
2018,519000,Matale
2019,522000,Matale
2020,525000,Matale
2021,530000,Matale
2022,530000,Matale
2023,525000,Matale
2007,696945,NuwaraEliya
2008,702655,NuwaraEliya
2009,708364,NuwaraEliya
2010,714073,NuwaraEliya
2011,719782,NuwaraEliya
2012,725491,NuwaraEliya
2013,731200,NuwaraEliya
2014,733000,NuwaraEliya
2015,741000,NuwaraEliya
2016,748000,NuwaraEliya
2017,756000,NuwaraEliya
2018,763000,NuwaraEliya
2019,768000,NuwaraEliya
2020,773000,NuwaraEliya
2021,780000,NuwaraEliya
2022,783000,NuwaraEliya
2023,781000,NuwaraEliya
2007,1038539,Galle
2008,1045727,Galle
2009,1052915,Galle
2010,1060103,Galle
2011,1067291,Galle
2012,1074479,Galle
2013,1081667,Galle
2014,1083000,Galle
2015,1092000,Galle
2016,1102000,Galle
2017,1113000,Galle
2018,1124000,Galle
2019,1130000,Galle
2020,1135000,Galle
